tranaction_Id,transaction_date,district,complete_year,transaction_type,num_building,num_land,num_garage,garage_status,garage_label,total_floor_number,building_state,main_building_materials,land_shifting_total_area,building_shifting_total_area,main_building_area,subsidiary_building_area,balcony_area,num_room,num_bathroom,compartment,management_org,carpark_type,carpark_shifting_area,carpark_total_price,elevator,total_ntd,unit_ntd
1,1/2/20,Beitou District,1980,Land+Building+Garage,2,2,1,1,Yes,7,Apartment_5to10storey,Reinforced Concrete,21.16,116.84,95.88,0,7.94,3,2,1,1,Ramp Plane,0,0,1,10000000,85587
2,1/2/20,Datong District,1944,Land+Building,1,1,0,0,No,2,House,NULL,12,17.46,17.46,0,0,0,0,0,0,No carpark,0,0,0,2553800,146266
3,1/2/20,Wenshan District,2010,Land+Building+Garage,1,1,1,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,35.61,180.18,96.26,0,11.11,3,2,1,1,Ramp Plane,0,0,1,24500000,135975
4,1/2/20,Zhongshan District,1967,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,9.5,23.38,20.01,3.36,0,1,1,1,0,No carpark,0,0,0,2300000,98375
5,1/2/20,Xinyi District,NULL,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,1.8,15.77,5.98,0.1,0.56,2,1,1,0,No carpark,0,0,1,2200000,139505
6,1/1/20,Beitou District,2005,Land+Building+Garage,1,1,1,1,Yes,9,Apartment_5to10storey,Reinforced Concrete,29.12,182.36,92.15,6.97,9.5,4,2,1,1,Lifting Machinery,29.74,0,1,20700000,113512
7,1/2/20,Nangang District,2008,Garage,0,0,1,1,Yes,15,Other,Reinforced Concrete,0.84,15.02,0,0,0,0,0,1,1,Ramp Machinery,0,1550000,0,1550000,NULL
8,1/2/20,Songshan District,1999,Garage,0,0,1,1,Yes,17,Other,Reinforced Concrete,0.48,40.11,0,0,0,0,0,1,1,Ramp Plane,40.04,2630000,0,2630000,NULL
9,1/4/20,Zhongshan District,2007,Garage,0,0,3,1,Yes,13,Other,Reinforced Concrete,0.74,19.95,0,0,0,0,0,1,1,Lifting Plane,19.95,1824000,0,1824000,NULL
10,1/3/20,Xinyi District,1969,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,4,10.12,10.12,0,0,2,1,1,0,No carpark,0,0,0,2200000,217391
11,1/3/20,Xinyi District,2014,Land+Building+Garage,2,1,1,1,Yes,9,Apartment_5to10storey,Reinforced Concrete,14.1,74.42,37.09,5.2,0,1,1,1,1,Tower,0,0,1,15500000,208249
12,1/2/20,Shilin District,1998,Land+Building+Garage,1,2,1,1,Yes,13,Apartment_11storeyorgreater,Reinforced Concrete,1.43,8.98,5.28,0,0.64,2,1,1,1,Lifting Plane,0,0,1,2200000,244989
13,1/5/20,Beitou District,1983,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,27.98,102.52,80.29,0,14.38,3,1,1,0,No carpark,0,0,0,14500000,141436
14,1/2/20,Songshan District,NULL,Land+Building,1,1,0,0,No,7,Other,Reinforced Concrete,2.56,11.62,10.9,0,0,0,0,0,0,No carpark,0,0,0,2200000,189329
15,1/2/20,Songshan District,NULL,Land+Building,1,1,0,0,No,7,Other,Reinforced Concrete,2.56,11.62,10.9,0,0,0,0,0,0,No carpark,0,0,0,2200000,189329
16,1/3/20,Zhongshan District,2006,Land+Building+Garage,1,1,2,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,79,339.91,158.44,1.89,13.36,3,3,1,1,Ramp Plane,84.88,0,1,147000000,432467
17,1/7/20,Zhongshan District,1979,Land+Building,1,1,0,0,No,14,Commercial Building,Reinforced Concrete,1.97,28.97,20.43,0,0,0,0,0,0,No carpark,0,0,1,3200000,110459
18,1/2/20,Neihu District,2000,Land+Building+Garage,2,1,5,1,Yes,12,NULL,Reinforced Concrete,76.74,582.67,402.41,0,0,0,0,0,1,Ramp Plane,0,9250000,0,82185100,141049
19,1/6/20,Xinyi District,1988,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,24.55,99.34,79.31,9.72,0,3,2,1,0,No carpark,0,0,0,21880000,220254
20,1/3/20,Wanhua District,NULL,Land+Building,1,1,0,0,No,2,House,Brickwork,3.08,4.05,4.05,0,0,0,0,0,0,No carpark,0,0,0,2888000,713086
21,1/4/20,Wenshan District,1982,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,48.7,160.78,122.79,0,25.79,3,2,1,0,No carpark,0,0,0,17700000,110088
22,1/4/20,Wenshan District,1992,Garage,0,0,1,1,Yes,7,Other,Reinforced Concrete,5.43,29.84,0,0,0,0,0,1,0,Lifting Machinery,0,1050000,0,1050000,NULL
